STOK KODU	STOK İSMİ	CİNSİ	MUHASEBE KODU	MUHASEBE HESAP İSMİ	STOK İADE MUHASEBE KODU	STOK İADE MUHASEBE HESAP İSMİ	YURT İÇİ SATIŞ MUHASEBE KODU	YURT İÇİ SATIŞ MUHASEBE HESAP İSMİ	YURT DIŞI SATIŞ MUHASEBE KODU	YURT DIŞI SATIŞ MUHASEBE HESAP İSMİ	SATIŞ İADE MUHASEBE KODU	SATIŞ İADE MUHASEBE HESAP İSMİ
152.3116.IND.22.BLACK	GRANİT DERİN TENCERE 22 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116.IND.22.S.BEIGE	GRANİT DERİN TENCERE 22 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116.IND.24.BLACK	GRANİT DERİN TENCERE 24 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.G.28.D.BROWN	GRANİT Ø 28 CM TENCERE (S TİPİ CAM KPK - GOLD ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116.I.20.DEF	DEFOLU GRANİT DERİN TENCERE 20 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116.I.22.DEF	DEFOLU GRANİT DERİN TENCERE 22 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116.I.24.DEF	DEFOLU GRANİT DERİN TENCERE 24 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116.I.26.DEF	DEFOLU GRANİT DERİN TENCERE 26 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3116.I.28.DEF	DEFOLU GRANİT DERİN TENCERE 28 CM İND. (2,8) Z-TİPİ KPK	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.30.BLACK	GRANİT Ø 30 CM  TENCERE (CAM KPK - ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.30.BRONZ	GRANİT Ø 30 CM  TENCERE (CAM KPK-ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.G.20.D.BROWN	GRANİT Ø 20 CM TENCERE (S TİPİ CAM KPK - GOLD ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.G.22.D.BROWN	GRANİT Ø 22 CM TENCERE (S TİPİ CAM KPK - GOLD ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.G.24.D.BROWN	GRANİT Ø 24 CM TENCERE (S TİPİ CAM KPK - GOLD ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.G.26.D.BROWN	GRANİT Ø 26 CM TENCERE (S TİPİ CAM KPK - GOLD ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.26.ANTRACITE	GRANİT Ø 26 CM  TENCERE (Z TİPİ CAM KPK-ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.26.BLACK	GRANİT Ø 26 CM  TENCERE (Z TİPİ CAM KPK - ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.26.BRONZ	GRANİT Ø 26 CM  TENCERE (CAM KPK-ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.28.ANTRACITE	GRANİT Ø 28 CM  TENCERE (Z TİPİ CAM KPK - ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.28.BLACK	GRANİT Ø 28 CM  TENCERE (Z TİPİ CAM KPK - ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.28.BRONZ	GRANİT Ø 28 CM  TENCERE (CAM KPK-ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.22.ANTRACITE	GRANİT Ø 22 CM  TENCERE (Z TİPİ CAM KPK - ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.22.BLACK	GRANİT Ø 22 CM  TENCERE (Z TİPİ CAM KPK - ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.22.BRONZ	GRANİT Ø 22 CM  TENCERE (CAM KPK-ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.24.ANTRACITE	GRANİT Ø 24 CM  TENCERE (Z TİPİ CAM KPK-ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.24.BLACK	GRANİT Ø 24 CM  TENCERE (Z TİPİ CAM KPK - ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.24.BRONZ	GRANİT Ø 24 CM  TENCERE (CAM KPK-ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3114.CKL.30.COPPER	GRANİT Ø 30 CM AVANGARD TENCERE (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.18.BLACK	GRANİT Ø 18 CM  TENCERE (CAM KPK - ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.18.BRONZ	GRANİT Ø 18CM  TENCERE (CAM KPK-ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.20.ANTRACITE	GRANİT Ø 20 CM TENCERE (Z TİPİ CAM KPK - ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.20.BLACK	GRANİT Ø 20 CM  TENCERE (Z TİPİ CAM KPK - ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3115.20.BRONZ	GRANİT Ø 20 CM  TENCERE (CAM KPK-ÇELİK SAP)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3114.CKL.18.COPPER	GRANİT Ø 18 CM AVANGARD TENCERE (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3114.CKL.20.COPPER	GRANİT Ø 20 CM AVANGARD TENCERE (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3114.CKL.22.COPPER	GRANİT Ø 22 CM AVANGARD TENCERE (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3114.CKL.24.COPPER	GRANİT Ø 24 CM AVANGARD TENCERE (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3114.CKL.26.COPPER	GRANİT Ø 26 CM AVANGARD TENCERE (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3114.CKL.28.COPPER	GRANİT Ø 28 CM AVANGARD TENCERE (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.32.DEF	DEFOLU GASTRO - Ø 32 CM GRANİT TENCERE (SİYAH)	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.34.BLACK	OMS GASTRO - Ø 34 CM GRANİT TENCERE (SİYAH)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.34.DEF	DEFOLU GASTRO - Ø 34 CM GRANİT TENCERE (SİYAH)	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3114.20.GOLD	GRANİT Ø 20 CM AVANGARD TENCERE (CAM KAPAK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3114.24.GOLD	GRANİT Ø 24 CM AVANGARD TENCERE (CAM KAPAK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3114.28.GOLD	GRANİT Ø 28 CM AVANGARD TENCERE (CAM KAPAK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.26.DEF	DEFOLU GASTRO - Ø 26 CM GRANİT TENCERE (SİYAH)	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.28.BLACK	OMS GASTRO - Ø 28 CM GRANİT TENCERE (SİYAH)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.28.DEF	DEFOLU GASTRO - Ø 28 CM GRANİT TENCERE (SİYAH)	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.30.BLACK	OMS GASTRO - Ø 30 CM GRANİT TENCERE (SİYAH)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.30.DEF	DEFOLU GASTRO - Ø 30 CM GRANİT TENCERE (SİYAH)	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.32.BLACK	OMS GASTRO - Ø 32 CM GRANİT TENCERE (SİYAH)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.20.DEF	DEFOLU GASTRO - Ø 20 CM GRANİT TENCERE (SİYAH)	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.22.BLACK	OMS GASTRO - Ø 22 CM GRANİT TENCERE (SİYAH)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.22.DEF	DEFOLU GASTRO - Ø 22 CM GRANİT TENCERE (SİYAH)	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.24.BLACK	OMS GASTRO - Ø 24 CM GRANİT TENCERE (SİYAH)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.24.DEF	DEFOLU GASTRO - Ø 24 CM GRANİT TENCERE (SİYAH)	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.26.BLACK	OMS GASTRO - Ø 26 CM GRANİT TENCERE (SİYAH)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.CKL.24.GOLD	GRANİT Ø 24 CM DEGRADELİ TENCERE (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.CKL.26.GOLD	GRANİT Ø 26 CM DEGRADELİ TENCERE (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.CKL.28.GOLD	GRANİT Ø 28 CM DEGRADELİ TENCERE (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.18.BLACK	OMS GASTRO - Ø 18 CM GRANİT TENCERE (SİYAH)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.18.DEF	DEFOLU GASTRO - Ø 18 CM GRANİT TENCERE (SİYAH)	Ticari mal	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.GASTRO.20.BLACK	OMS GASTRO - Ø 20 CM GRANİT TENCERE (SİYAH)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.03.06-24-GOLD	GRANİT TENCERE Ø24 CM DEĞRADELİ  (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.03.06-28-BKR	GRANİT TENCERE Ø28 CM DEĞRADELİ  (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.03.06-28-GOLD	GRANİT TENCERE Ø28 CM DEĞRADELİ  (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.CKL.18.GOLD	GRANİT Ø 18 CM DEGRADELİ TENCERE (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.CKL.20.GOLD	GRANİT Ø 20 CM DEGRADELİ TENCERE (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.CKL.22.GOLD	GRANİT Ø 22 CM DEGRADELİ TENCERE (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3112.S1.16.RED	GRANİT Ø 16 x 8 CM GÜVEÇ  TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.03.06-20-BKR	GRANİT TENCERE Ø20 CM DEĞRADELİ  (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.03.06-20-GOLD	GRANİT TENCERE Ø20 CM DEĞRADELİ  (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.03.06-22-BKR	GRANİT TENCERE Ø22 CM DEĞRADELİ  (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.03.06-22-GOLD	GRANİT TENCERE Ø22 CM DEĞRADELİ  (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3113.03.06-24-BKR	GRANİT TENCERE Ø24 CM DEĞRADELİ  (ÇELİK KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3112.S1.14.M.BROWN	GRANİT Ø 14 x 8 CM GÜVEÇ  TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3112.S1.14.PINK	GRANİT Ø 14 x 8 CM GÜVEÇ  TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3112.S1.14.RED	GRANİT Ø 14 x 8 CM GÜVEÇ  TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3112.S1.16.GREY	GRANİT Ø 16 x 8 CM GÜVEÇ  TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3112.S1.16.M.BROWN	GRANİT Ø 16 x 8 CM GÜVEÇ  TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3112.S1.16.PINK	GRANİT Ø 16 x 8 CM GÜVEÇ  TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3112.S1.01-18-PMB	GRANİT Ø 18 x 8 CM GÜVEÇ  TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
152.3112.S1.12.GREY	GRANİT Ø 12 x 7,5  CM GÜVEÇ  TENCERE (CAM KPK)	Mamül	152.01.01.05.002	Granit Tek Tencere	152.01.01.05.002	Granit Tek Tencere	600.01.01.05.002	Granit Tek Tencere	601.01.01.05.002	Granit Tek Tencere	610.01.01.05.002	Granit Tek Tencere
